Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-02-01,119.16183,120.66669,117.65687,119.64061,1807054
2011-02-02,121.82961,122.10321,117.31485,119.02498,1943631
2011-02-03,119.02498,120.1879,117.4517,118.5462,633152
2011-02-04,119.43543,121.48758,119.09331,120.32466,794107
2011-02-07,121.0088,122.51366,120.52984,120.52984,734319
2011-02-08,120.25624,121.89803,119.57228,119.91421,1331911
2011-02-09,120.1879,122.58199,119.29858,121.69276,1518696
2011-02-10,121.14556,121.62443,118.2726,118.8198,2297398
2011-02-11,117.7253,121.62443,116.28877,121.62443,1198099
2011-02-14,122.10321,122.92411,120.05106,121.07714,856744
2011-02-15,120.94029,121.0088,119.50376,119.70903,1073879
2011-02-16,121.0088,121.0088,116.97282,116.97282,961097
2011-02-17,118.2726,118.8198,112.86851,113.21054,1891307
2011-02-18,113.48423,115.05751,112.45806,113.89459,1482999
2011-02-21,115.19427,115.80999,114.09986,115.26269,815690
2011-02-22,114.64706,114.64706,112.18446,112.52648,943444
2011-02-23,112.73166,113.62099,111.2268,112.18446,969868
2011-02-24,110.81635,112.18446,109.0378,111.84243,1358868
2011-02-25,113.27896,116.97282,112.80009,114.98909,1154893
2011-02-28,116.35867,120.05152,115.94417,120.05152,1978403
2011-03-01,121.07714,122.10321,119.77745,119.77745,1230879
2011-03-02,118.75138,121.62443,117.79363,121.62443,793174
2011-03-03,121.69276,126.54955,121.35074,125.79708,1592751
2011-03-04,126.75473,128.12293,122.92411,124.4974,924031
2011-03-07,124.15537,127.30203,124.08695,124.08695,961930
2011-03-08,124.4974,125.0446,119.50376,120.59835,2455521
2011-03-09,121.14556,122.78727,120.05106,120.25624,1333525
2011-03-10,118.20408,118.61453,115.60472,115.60472,2322477
2011-03-11,113.55256,116.97282,113.07378,116.6308,2135495
2011-03-14,116.28877,119.57228,115.80999,117.9989,1142568
2011-03-15,116.08359,117.178,113.27896,115.33102,2876107
2011-03-16,117.31485,118.20408,116.15192,116.35719,1911626
2011-03-17,117.38327,121.14556,116.97282,120.25624,1972761
2011-03-18,120.73511,121.41916,119.23016,119.70903,1622588
2011-03-21,121.07714,121.62443,120.1879,120.46151,568590
2011-03-22,120.32466,120.80353,118.40935,119.98263,647125
2011-03-23,119.98263,122.58199,119.43543,122.58199,1193884
2011-03-24,122.10321,126.75473,121.41916,125.79708,2131739
2011-03-25,125.79708,126.89158,124.29213,126.89158,1080672
2011-03-28,125.52347,128.12293,124.83942,127.02833,796456
2011-03-29,126.27595,126.89158,124.70257,125.79708,1110783
2011-03-30,126.61788,127.2336,122.78727,123.19772,1361731
2011-03-31,123.88499,124.97287,122.78966,123.26329,1459003
2011-04-01,123.88168,126.54955,123.47132,126.54955,874053
2011-04-04,127.57563,129.83297,126.61788,127.91766,936596
2011-04-05,127.09685,128.46486,126.00226,128.25968,631963
2011-04-06,129.08049,131.33792,128.80689,131.33792,981790
2011-04-07,130.65387,133.11638,129.96981,132.77445,912074
